"name","id","damage","damage_high","absorb","absorb_high","durability","durability_max","str_mod","agl_mod","pow_mod","int_mod","def_mod","hp_mod","wear_slot","image","description","action","charges","charges_max","useable","unique","sell_value","required_level","quest"
"Onyx Helmet","1","0","0","10","12","60","60","0","0","2","0","0","0","item_head","item_head.gif","This helmet is imbued with an Onyx coating and gives the wearer +2 power.","0","0","0","0",,".20","2",
"Headband of the Owl","2","0","0","5","5","10","10","0","0","0","4","0","0","item_head","item_head.gif","Headband that has a trendy Owl logo imprinted on it. This thing gives off +4 Intelligence to the wearer.","0","0","0","0","0",".25","3",
"Machine Gun of Disgruntledness","3","10","15","0","0","50","50","0","0","-2","0","0","0","item_weapon1","item_weapon.gif","Plows through targets.  Especially good for bosses.","0","0","0","0","0",".42","4",
"Retard Ring","4","0","0","0","0","0","0","0","0","0","-2","2","0","item_hands","item_ring.gif","Makes the wearer a little bit dull, but also increases defenses.","0","0","0","0","0","1.30","8",
"Butthuggers","5","0","0","10","10","50","50","0","-2","0","0","4","0","item_legs","item_legs.gif","Extremely tight pants. They make moving difficult.","0","0","0","0","0",".05","1",
"Mysterious Device","6","0","0","0","0","0","0","0","0","0","0","0","0",,"item_mystery.gif","No one knows what this thing does and you are not completely sure either. It has a large red button on the top and a label that reads ""Do not press"".","2","5","5","1",,".40","1",
"Power Rectangle","7","0","0","0","0","0","0","0","0","0","0","0","0",,"item_power_rectangle.gif","It is a rectangle and it seems to radiate energy.","3","1","1","1","0",".05","1",
"Guts","8","0","0","0","0","0","0","0","0","0","0","0","0",,"item_ratguts.gif","The brutally crushed remains of something.","0","0","0","0",,".02","1",
"Eyeball","9","0","0","0","0","0","0","0","0","0","0","0","0",,"item_rateyeball.gif","An eyeball that has been violently dislodged from it\'s socket. (Used in recipies)","10","0","0","0","0",".03","1",
"Empty Bottle","10","0","0","0","0","0","0","0","0","0","0","0","0",,"item_emptybottle.gif","It\'s a bottle... with nothing in it.","10","0","0","0","0",".02","1",
"Upside Down Heart","11","0","0","0","0","0","0","0","0","0","0","0","5",,"item_upsidedownheart.gif","It's an upside down heart. It restores 5 hit points if used.","1","1","1","1",,".05","1",
"Rat Killin' Stick","12","2","4","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_ratkillinstick.gif","This stick looks like it might be a good weapon. A good weapon against rats.","0","0","0","0",,".01","1",
"Fingernail","13","0","0","0","0","0","0","0","0","0","0","0","0",,"item_fingernail.gif","It is a fingernail. It probably got knocked loose in a fight and you just happened to pick it up.","0","0","0","0",,".02","1",
"Ear","14","0","0","0","0","0","0","0","0","0","0","0","0",,"item_ear.gif","This is an ear. Someone or... some ""thing""... can't hear anymore.","0","0","0","0",,".01","1",
"Hair","15","0","0","0","0","0","0","0","0","0","0","0","0",,"item_hair.gif","A little lock of hair. It has blood on it.","0","0","0","0",,".01","1",
"Leather Gloves","16","0","0","0","0","0","0","0","0","0","0","1","0","item_hands","item_glove.gif","This is a pair of leather gloves.","0","0","0","0",,".05","1",
"Knit Socks","17","0","0","0","0","0","0","0","0","0","0","1","0","item_feet","item_socks.gif","Put them on your feet and stay warm.","0","0","0","0",,".10","1",
"Purple Shirt","18","0","0","0","0","0","0","0","0","0","0","2","0","item_chest","item_shirt.gif","This is a finely crafted purple shirt.","0","0","0","0",,".30","1",
"Cotton Armbands","19","0","0","0","0","0","0","2","0","0","0","1","0","item_arms","item_armbands.gif","They look like the would fit pretty snuggly.","0","0","0","0","0",".05","1",
"Kevlar Chest","20","0","0","12","12","0","0","0","0","0","0","12","0","item_chest","item_shirt_7.gif","A chest piece made of kevlar.","0","0","0","0","0","1.20","6",
"Blue Mask","21","0","0","1","2","0","0","0","0","0","0","1","0","item_head","item_blue_mask.gif","A generic blue mask, used to hide your identity and protect your eyes from dirt and stuff. ","0","0","0","0","0",".25","1",
"Ray Gun","22","13","19","0","0","0","0","0","0","0","1","0","0","item_weapon1","item_raygun.gif","A gun designed by a guy named Ray. Oh, it also shoots beams of focused energy. ","0","0","0","0","0",".55","5",
"Knife","23","2","5","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_knife.gif","Just a plain ol\' knife. Used for stabbin and cuttin steaks. ","0","0","0","0","0",".10","1",
"Banana","24","0","0","0","0","0","0","0","0","0","0","0","0",,"item_bannana.gif","For some reason, every time you look at this, you think it\'s peanut butter jelly time. ","39","1","1","1","0","1.25","14",
"Cash Generator","69","0","0","0","0","0","0","0","0","0","0","0","0",,"item_stopwatch.gif","This is a test item to see if cash generation actions work.","14","1","1","1","0","5.50","1","no"
"Blue Cape","25","0","0","1","1","0","0","0","0","0","0","1","0","item_back","item_blue_cape.gif","Generic blue cape. Keeps your back warm and looks cool. ","0","0","0","0","0",".14","1",
"Sharp Dagger","26","12","19","1","1","0","0","0","0","0","5","0","0","item_weapon1","item_dagger.gif","The blade on this dagger is very sharp. Watch out! It also makes you sharper.","0","0","0","0","0",".75","6",
"Gorgon's Stick","27","82","102","1","1","0","0","23","0","0","0","0","0","item_weapon1","item_ratkillinstick.gif","This is the very stick used by Gorgon.","0","0","0","0","0","15.50","19",
"Ring of Hate","28","0","0","0","0","0","0","-2","0","15","0","0","0","item_hands","item_ring.gif","A ring that has an aura that makes you hate it. Yet you love it at the same time. You want it. You want to wear it. But you hate it.","0","0","0","0","0",".04","5",
"Adrenaline","29","0","0","0","0","0","0","0","0","0","0","0","0",,"item_hypo.gif","It\'s a hypodermic needle with some adrenaline in it.","5","0","0","1","0",".05","3",
"Vodka","30","0","0","0","0","0","0","0","0","0","0","0","0",,"item_emptybottle.gif","A bottle of fine vodka.","40","0","0","1","0",".10","4",
"Huntin' Knife","31","5","9","1","1","0","0","2","0","0","0","0","0","item_weapon1","item_knife2.gif","This knife is kinda big. It\'s got serrated edges and it looks like it might be good for huntin\'
","0","0","0","0","0",".20","2",
"Floppy Disc","32","0","0","0","0","0","0","0","0","0","0","0","0",,"item_disk.gif","A floppy disc. You might be able to use this with a computer somehow.","0","0","0","0","0",".10","1",
"Parcel","33","0","0","0","0","0","0","0","0","0","0","0","0",,"item_env.gif","Someone\'s mail. I bet you\'re wondering what\'s inside.","17","1","0","1","0",".02","1",
"Orb of Power","34","0","0","0","0","0","0","0","0","0","0","0","0",,"item_orb2.gif","A shiny, black, round orb that screams \""I will restore 15 power\"".","7","0","0","1","0",".20","5",
"Coffee","35","0","0","0","0","0","0","0","0","0","0","0","0",,"item_coffee_cup.gif","Coffee... Mmmm (Developer\'s Choice)","8","1","1","1","0","87431.42","1",
"Kid Beatin' Stick","36","11","16","0","0","0","0","2","0","0","0","0","0","item_weapon1","item_ratkillinstick.gif","This is a big stick. You could probably shoo off lots of kids with this thing.","0","0","0","0","0",".48","4",
"Beretta","37","16","22","0","0","0","0","2","0","0","0","0","0","item_weapon1","item_beretta.gif",,"0","0","0","0","0",".80","6","no"
"Gorgon\'s Fingernail","38","0","0","0","0","0","0","0","0","0","0","0","0",,"item_fingernail.gif","A fingernail. Not just any fingernail though, it\\\'s Gorgon\\\'s fingernail.","0","0","0","0","0","0","1","yes"
"Lionheart Gloves","39","0","0","0","0","0","0","4","4","0","0","5","0","item_hands","item_glove.gif","Some gloves that look pretty cool and stuff.","0","0","0","0","0",".80","10","no"
"Brass Knuckles","40","12","18","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_brassknuckles.gif","Some brass knuckles.","0","0","0","0","0",".60","5","no"
"Robot Brain","41","0","0","0","0","0","0","0","0","0","0","0","0",,"item_thingy.gif","A brain of a robot.","10","0","0","0","0",".40","1","no"
"Ball Bearing","42","0","0","0","0","0","0","0","0","0","0","0","0",,"item_orb2.gif","It\'s a ball bearing.","10","0","0","0","0",".02","1","no"
"Robot Arm","43","0","0","0","0","0","0","0","0","0","0","0","0",,"item_robotarm.gif","An arm from a robot.","10","0","0","0","0",".60","1","no"
"Interdimensional Pear","44","0","0","0","0","0","0","0","0","0","0","0","0",,"item_pear.gif","It\'s a pear, except there seems to be something interdimensional about it.","27","1","1","1","0",".12","6","no"
"Intergalactic Calculator","45","0","0","0","0","0","0","0","0","0","0","0","0",,"item_calc.gif","It is a calculator that exhibits space like qualities. Like its been in space or something.","0","0","0","0","0","1.45","1","no"
"Alien Testicle","46","0","0","0","0","0","0","0","0","0","0","0","0",,"item_orb.gif","A single alien testicle. ","10","0","0","0","0","1.43","1","no"
"Floppy Disk","47","0","0","0","0","0","0","0","0","0","0","0","0",,"item_disk.gif","It is a floppy disk. Probably has some old data on it.","0","0","0","0","0",".25","1","no"
"Little Dagger","48","3","7","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_dagger.gif","It is a little dagger. Not too big.","0","0","0","0","0",".25","2","no"
"Damaged sales invoice","49","0","0","0","0","0","0","0","0","0","0","0","0",,"item_printout.gif","It\'s a sales invoice. You can\'t read it though because it is damaged beyond readability. If only you had a sales invoice repair kit.","0","0","0","0","0",".23","1","no"
"Sales invoice repair kit","50","0","0","0","0","0","0","0","0","0","0","0","0",,"item_case.gif","This is used to repair damaged sales invoices. Model SIR-K 1K","0","0","0","0","0","24.95","1","no"
"AK-47","51","18","25","0","0","0","0","3","0","0","0","0","0","item_weapon1","item_ak47.gif","Avtomat Kalashnikova 47. a selective fire, gas operated 7.62mm assault rifle developed in the Soviet Union by Mikhail Kalashnikov.","0","0","0","0","0","1.16","7","no"
"Apple","52","0","0","0","0","0","0","0","0","0","0","0","0",,"item_apple.gif","An apple.","9","1","0","1","0",".05","2","no"
"Coffee Machine","53","0","0","0","0","0","0","0","0","0","0","0","0",,"item_coffee.gif","Makes coffee i guess.","18","1","1","1","0","436431.53","1","no"
"Base seed","54","0","0","0","0","0","0","0","0","0","0","0","0",,"item_bean.gif","This is a base seed. It might grow into a base someday.","19","1","1","1","0","5","1","no"
"Taser","55","21","26","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_taser.gif","This device shoots electrical pulses into the victim.","0","1","1","0","0","1.23","7","no"
"Snug Denim Jeans","56","0","0","0","0","0","0","0","0","0","0","14","0","item_legs","item_jeans.gif","Snug fitting jeans. They are kind of stylish too.","0","1","1","0","0",".23","4","no"
"Cordouroy Pants","57","0","0","0","0","0","0","0","0","0","0","8","0","item_legs","item_cordouroy.gif","They make a zipping noise as you walk. ","0","1","1","0","0",".15","2","no"
"Green Jeans","58","0","0","0","0","0","0","0","0","0","0","19","0","item_legs","item_greenjeans.gif","Faded green jeans. They are cool though.","0","1","1","0","0",".43","6","no"
"Construction Hat","59","0","0","0","0","0","0","0","0","0","0","3","0","item_head","item_hardhat.gif","Great defense for the noob types.","0","1","1","0","0",".45","4","no"
"AP Ade","60","0","0","0","0","0","0","0","0","0","0","0","0",,"item_vodka.gif","Mmmm delicious AP Ade... Oh yeah!","12","1","1","1","0","2.00","1","no"
"Base Mailbox Kit","68","0","0","0","0","0","0","0","0","0","0","0","0",,"item_mailbox.gif","Add a mailbox to your base.","26","1","1","1","0","6","1","no"
"AP Ade Extreme","61","0","0","0","0","0","0","0","0","0","0","0","0",,"item_extreme_bev.gif","OMG Wow!","20","1","1","1","0","32441.23","1","no"
"AP Ade Extreme Generator","62","0","0","0","0","0","0","0","0","0","0","0","0",,"item_gameboy.gif","Makes a batch of AP Ade Extreme.","21","1","1","1","0","93562","1","no"
"Ring of Strength","63","0","0","0","0","0","0","3","0","0","0","0","0","item_hands","item_ring2.gif","This ring looks like it might make you stronger.","0","1","1","0","0",".24","5","no"
"Base destruction kit","64","0","0","0","0","0","0","0","0","0","0","0","0",,"item_crate.gif","This crate contains a portable base destruction kit. Use at your own risk.","22","1","1","1","0","25","1","no"
"Base Bank Upgrade Kit","65","0","0","0","0","0","0","0","0","0","0","0","0",,"item_safe.gif","Upgrades your base to include a personal bank.","23","1","1","1","0","35","1","no"
"Base Bed Assembly Starter Kit","66","0","0","0","0","0","0","0","0","0","0","0","0",,"item_bed.gif","One size fits all!","24","1","1","1","0","2","1","no"
"Base Sidekick Generator","67","0","0","0","0","0","0","0","0","0","0","0","0",,"item_dome.gif","Put this in your base, plug it in and wait for your sidekick to generate.","25","1","1","1","0","32","1","no"
"Computer","70","0","0","0","0","0","0","0","0","0","0","0","0",,"item_laptop.gif","The latest in computing technology.","0","1","1","0","0","6","1","no"
"Compact Disc","71","0","0","0","0","0","0","0","0","0","0","0","0",,"item_cd.gif","A CD with data on it","0","1","1","0","0",".32","1","no"
"Video Card","72","0","0","0","0","0","0","0","0","0","0","0","0",,"item_cpu_card.gif","A 3D video card","0","1","1","0","0","2","1","no"
"Yellow Cake","73","0","0","0","0","0","0","0","0","0","0","0","0",,"item_twinkie.gif","Looks delicious","41","1","1","1","0",".35","8","no"
